120
0	72	
1250	70	
1667	72	
2083	68	
2500	70	
2917	72	
3333	73	
4167	70	
4583	72	
5000	73	
5417	70	
5833	72	
6250	73	
6667	75	
7500	77	
8125	72	
8750	73	
9167	68	
9583	70	
10000	72	
10833	70	
11247	68	
11667	75	
13333	72	
14167	68	
14583	70	
15000	72	
15417	68	
15833	70	
16250	72	
16667	73	
17500	70	
17917	72	
18333	73	
18750	70	
19167	72	
19583	73	
20000	75	
20833	77	
21458	72	
22083	73	
22500	68	
22917	70	
23333	72	
23750	75	
24167	72	
24792	70	
25000	68	
26146	72	
27318	60	
27500	65	
27917	68	
28125	72	
28333	77	
28750	72	
29167	77	
29583	72	
30651	60	
30833	65	
31042	68	
31250	72	
31458	77	
31667	80	
32083	72	
32500	77	
32917	72	
33333	73	
33750	65	
34167	68	
34583	73	
35000	74	
35417	65	
35833	68	
36250	74	
36667	75	
37083	63	
37500	75	
37917	64	
38958	62	
39167	63	
39375	64	
39583	65	
39818	67	
40000	72	
40833	68	
41250	70	
41667	72	
42083	68	
42500	70	
42917	72	
43333	73	
44167	70	
44583	72	
45000	73	
45417	70	
45833	72	
46250	73	
46667	75	
47500	77	
48125	72	
48750	73	
49167	68	
49583	70	
50000	72	
50417	75	
50833	72	
51458	70	
51667	68	
