120
0	64	
500	67	
875	64	
1250	69	
1500	64	
1750	62	
2000	64	
2500	71	
2875	64	
3250	72	
3500	71	
3750	67	
4000	64	
4250	71	
4500	76	
4750	64	
4875	62	
5250	59	
5500	66	
5750	64	
8500	67	
8875	64	
9250	69	
9500	64	
9750	62	
10000	64	
10500	71	
10875	64	
11250	72	
11500	71	
11750	67	
12000	64	
12250	71	
12500	76	
12750	64	
12875	62	
13250	59	
13500	66	
13750	64	
24500	67	
24875	64	
25250	69	
25500	64	
25750	62	
26000	64	
26500	71	
26875	64	
27250	72	
27500	71	
27750	67	
28000	64	
28250	71	
28500	76	
28750	64	
28875	62	
29250	59	
29500	66	
29750	64	
32500	67	
32875	64	
33250	69	
33500	64	
33750	62	
34000	64	
34500	71	
34875	64	
35250	72	
35500	71	
35750	67	
36000	64	
36250	71	
36500	76	
36750	64	
36875	62	
37250	59	
37500	66	
37750	64	
60500	67	
60875	64	
61250	69	
61500	64	
61750	62	
62000	64	
62500	71	
62875	64	
63250	72	
63500	71	
63750	67	
64000	64	
64250	71	
64500	76	
64750	64	
64875	62	
65250	59	
65500	66	
65750	64	
68500	67	
68875	64	
69250	69	
69500	64	
69750	62	
70000	64	
70500	71	
70875	64	
71250	72	
71500	71	
71750	67	
72000	64	
72250	71	
72500	76	
72750	64	
72875	62	
73250	59	
73500	66	
73750	64	
76000	67	
76375	62	
76750	67	
77250	62	
77500	67	
77750	62	
78000	67	
78375	62	
78750	67	
79250	62	
79500	67	
79750	62	
80000	67	
80375	62	
80750	67	
81250	62	
81500	67	
81750	62	
82000	67	
82375	62	
82750	67	
83250	62	
83500	67	
83750	62	
84000	67	
84375	62	
84750	67	
85250	62	
85500	67	
85750	62	
86000	67	
86375	62	
86750	67	
87250	62	
87500	67	
87750	62	
88000	67	
88375	62	
88750	67	
89250	62	
89500	67	
89750	62	
90000	67	
90375	62	
90750	67	
91250	62	
91500	67	
91750	62	
92000	67	
92375	62	
92750	67	
93250	62	
93500	67	
93750	62	
94000	67	
94375	62	
94750	67	
95250	62	
95500	67	
95750	62	
96000	67	
96375	62	
96750	67	
97250	62	
97500	67	
97750	62	
98000	67	
98375	62	
98750	67	
99250	62	
99500	67	
99750	62	
100000	67	
100375	62	
100750	67	
101250	62	
101500	67	
101750	62	
102000	67	
102375	62	
102750	67	
103250	62	
103500	67	
103750	62	
104000	67	
104375	62	
104750	67	
105250	62	
105500	67	
105750	62	
106000	67	
106375	62	
106750	67	
107250	62	
107500	67	
107750	62	
108000	67	
108375	62	
108750	67	
109250	62	
109500	67	
109750	62	
110000	67	
110375	62	
110750	67	
111250	62	
111500	67	
111750	62	
132000	64	
132500	67	
132875	64	
133250	69	
133500	64	
133750	62	
134000	64	
134500	71	
134875	64	
135250	72	
135500	71	
135750	67	
136000	64	
136250	71	
136500	76	
136750	64	
136875	62	
137250	59	
137500	66	
137750	64	
140500	67	
140875	64	
141250	69	
141500	64	
141750	62	
142000	64	
142500	71	
142875	64	
143250	72	
143500	71	
143750	67	
144000	64	
144250	71	
144500	76	
144750	64	
144875	62	
145250	59	
145500	66	
145750	64	
